Macrotrends Data Download,,,
,,,
Pakistan GDP 1960-2023,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,3.7492650146997,83.3379,
1961-12-31,4.1186476270475,89.409,5.9873
1962-12-31,4.3101637967241,91.3192,4.4829
1963-12-31,4.6308273834523,95.7034,8.6888
1964-12-31,5.204955900882,104.8802,7.5698
1965-12-31,5.9292314153717,116.4467,10.4194
1966-12-31,6.5611087778244,125.547,5.79
1967-12-31,7.4645107097858,139.1185,5.4006
1968-12-31,8.0419991600168,145.9457,7.2332
1969-12-31,8.6831163376733,153.417,5.5079
1970-12-31,10.027509449811,172.4657,11.3535
1971-12-31,10.665896682066,178.5551,0.4684
1972-12-31,9.415016359566,153.384,0.8134
1973-12-31,6.3834294902109,101.1647,7.0643
1974-12-31,8.8991919191919,137.1089,3.5402
1975-12-31,11.230606060606,168.0804,4.2114
1976-12-31,13.168080808081,191.3011,5.1562
1977-12-31,15.126060606061,213.1687,3.9477
1978-12-31,17.811515151515,243.3358,8.0485
1979-12-31,19.688383838384,260.5623,3.7584
1980-12-31,23.654444444444,303.051,10.2157
1981-12-31,28.100606060606,348.2951,7.9208
1982-12-31,30.725971563981,368.2774,6.5375
1983-12-31,28.691889763779,332.521,6.7784
1984-12-31,31.151825467498,349.1821,5.0652
1985-12-31,31.144920844327,337.8285,7.5921
1986-12-31,31.899070055797,335.0202,5.5017
1987-12-31,33.351529274687,339.3323,6.4523
1988-12-31,38.472742808317,379.4545,7.6253
1989-12-31,40.171018229071,384.3643,4.9598
1990-12-31,40.010423970458,371.6786,4.4586
1991-12-31,45.625234697709,411.8594,5.0616
1992-12-31,48.884606848127,429.1469,7.7059
1993-12-31,51.80994933424,442.4923,1.7577
1994-12-31,52.293456906266,434.4654,3.7374
1995-12-31,60.636022422618,489.8818,4.9626
1996-12-31,63.320122807122,497.2161,4.8466
1997-12-31,62.433300338094,476.3812,1.0144
1998-12-31,62.191955814348,461.2167,2.5502
1999-12-31,62.973855718887,454.2761,3.6601
2000-12-31,82.017743416284,576.1956,4.2601
2001-12-31,79.484403984885,544.4943,3.5544
2002-12-31,79.904985384865,534.3039,2.5083
2003-12-31,91.760542940072,599.3763,5.777
2004-12-31,107.75968386312,687.8364,7.5469
2005-12-31,120.05529199294,748.9226,6.5188
2006-12-31,137.26406110604,836.8605,5.899
2007-12-31,152.38571631192,908.0951,4.8328
2008-12-31,170.0778141063,990.8466,1.7014
2009-12-31,168.15277528303,957.9957,2.8317
2010-12-31,177.16563507706,987.4097,1.6067
2011-12-31,213.587413184,1164.9788,2.7484
2012-12-31,224.38362082957,1198.1176,3.507
2013-12-31,231.21856717898,1208.9177,4.3965
2014-12-31,244.36088875081,1251.1757,4.6747
2015-12-31,270.55613170117,1356.6678,4.7311
2016-12-31,313.62985885959,1540.1845,5.5267
2017-12-31,339.20561576919,1631.5319,4.4326
2018-12-31,356.12822495709,1678.0432,6.1517
2019-12-31,320.90948922972,1481.8139,2.4976
2020-12-31,300.30633169767,1359.5145,-1.3295
2021-12-31,346.34317048607,1537.9364,6.0298